park,assassination,theft,gang_rape,burglary,rape,assualt_attack,harassment(sexual),totalcrime,long,lat,area,crime/area
GIVANS CREEK WOODS,0,0,0,0,0,0,0,0,,,BRONX        ,10.735
BETSY HEAD PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,10.555
TOMPKINS SQUARE PARK,0,0,0,0,0,2,4,8,,,MANHATTAN    ,10.502
CPL. THOMPSON PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,10.5
COMMODORE BARRY PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,10.391
CADMAN PLAZA PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,10.384
BROADWAY MALLS,0,0,0,0,0,0,0,0,,,MANHATTAN    ,10.242
STEEPLECHASE PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,10.01
HUNTER'S POINT SOUTH PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,10
UNNAMED PARK ON RICHMOND TERRACE,0,0,0,0,0,0,0,0,,,STATEN ISLAND,9.934
HYBRID OAK WOODS PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,9.763
WASHINGTON SQUARE PARK,0,0,0,0,0,6,23,32,,,MANHATTAN    ,9.749
BRYANT PARK,0,0,0,0,0,1,10,11,,,MANHATTAN    ,9.603
ROCKAWAY FREEWAY,0,0,0,0,0,0,0,0,,,QUEENS       ,9.404
BICENTENNIAL VETERANS MEMORIAL PARK,0,0,0,0,0,0,0,0,,,BRONX        ,9.395
SUNSET COVE PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,9.375
ST. JOHN'S RECREATION CENTER,0,0,0,0,0,0,1,2,,,BROOKLYN     ,9.339
LINDEN PARK,0,0,0,0,0,0,0,1,,,BROOKLYN     ,9.322
HAFFEN PARK,0,0,0,0,0,0,0,0,,,BRONX        ,9.238
ALLISON POND PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,9.2
GRANITEVILLE SWAMP PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,9.187
TOTTENVILLE SHORE PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,9.181
CAPTAIN TILLY PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,9.16
HARVEY PARK,0,0,0,0,0,1,0,1,,,QUEENS       ,9.154
MSGR. MCGOLRICK PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,9.134
BUSHWICK INLET PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,9.01
HENRY HUDSON PARK,0,0,0,0,0,0,0,0,,,BRONX        ,8.972
FRANK PRINCIPE PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,8.899
CASTLE HILL PARK,0,0,0,0,0,0,0,0,,,BRONX        ,8.834
ROCHDALE PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,8.833
ABE STARK SKATING RINK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,8.807
CITY HALL PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,8.8
EAST RIVER WATERFRONT ESPLANADE,0,0,0,0,0,0,0,0,,,MANHATTAN    ,8.761
CROTONA PARKWAY MALLS,0,0,0,0,0,0,0,0,,,BRONX        ,8.75
CONEY ISLAND CREEK PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,8.663
