park,assassination,theft,gang_rape,burglary,rape,assualt_attack,harassment(sexual),totalcrime,long,lat,area,crime/area
DRY DOCK PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.5
UNNAMED PARK ON RIVERSIDE DRIVE,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.494
MARX BROTHERS PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.486
BREVOORT PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.485
PLAYGROUND SIXTY TWO LXII,0,0,0,0,0,0,0,0,,,QUEENS       ,1.48
TALL OAK PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.48
FRONTERA PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.47
COLDEN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.466
LUTHER GULICK PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.451
PULASKI PARK,0,0,0,0,0,0,0,0,,,BRONX        ,1.45
BOOKER T. WASHINGTON PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.441
DUNBAR PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.44
PLAYGROUND TWENTY ONE,0,0,0,0,0,0,0,0,,,QUEENS       ,1.439
PROSPECT PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.438
WOODS PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.438
GLENWOOD PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.43
SHELTERING ARMS PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.43
ALMEDA PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.43
GAETA PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.43
MALL FORTY TWO XLII,0,0,0,0,0,0,0,0,,,QUEENS       ,1.429
NORELLI-HARGREAVES PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.427
PULASKI PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.416
BILDERSEE PLAYGROUND,0,0,0,0,0,0,0,1,,,BROOKLYN     ,1.416
MACDONALD PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.415
OWEN F. DOLEN PARK,0,0,0,0,0,0,0,0,,,BRONX        ,1.4
VAN DYKE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.398
WILLIAMSBRIDGE SQUARE,0,0,0,0,0,0,0,0,,,BRONX        ,1.395
PEOPLE'S PARK,0,0,0,0,0,0,0,0,,,BRONX        ,1.394
DOME PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.385
RUSSELL PEDERSEN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.384
ST. CATHERINE'S PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.383
HOWARD VON DOHLEN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.381
HAVEN AVENUE,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.38
NAUTILUS PLAYGROUND BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.38
ARCILLA PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.377
LIEUTENANT JOHN H. MARTINSON PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.375
FOUNTAIN OF YOUTH PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.375
MARTINEZ PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.373
HILLSIDE PARK BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.371
PLAYGROUND ONE FORTY,0,0,0,0,0,0,0,0,,,QUEENS       ,1.37
LT. LIA PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.37
CRACK IS WACK PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.369
CASTLE HILL PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.368
HOPE BALLFIELD,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.363
ADAM YAUCH PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.363
DR. RONALD MCNAIR PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.361
ADMIRAL FARRAGUT PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.359
MCDONALD PLAYGROUND STATEN ISLAND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.352
UNNAMED PARK ON VANDALIA AVENUE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.351
FRESH MEADOWS PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.35
PLAYGROUND EIGHTY LXXX,0,0,0,0,0,0,0,0,,,QUEENS       ,1.35
PRINTER'S PARK,0,0,0,0,0,1,0,1,,,BRONX        ,1.341
RENAISSANCE PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.34
CLASSON PLAYGROUND AT CLASSON AVENUE & LAFAYETTE AVENUE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.336
REMSEN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.333
MARC AND JASON'S PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.326
VETERANS PARK STATEN ISLAND,0,0,0,0,0,1,0,1,,,STATEN ISLAND,1.324
LYONS SQUARE PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.322
AGNES HAYWOOD PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.32
MARION HOPKINSON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.32
AMPERE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.318
POTOMAC PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.315
DETECTIVE JOSEPH MAYROSE PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.314
PAUL RAIMONDA PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.31
PRALL PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.307
HORACE HARDING PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.304
DEAN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.3
SEVEN GABLES PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.297
TRIBOROUGH BRIDGE PLAYGROUND B,0,0,0,0,0,0,0,0,,,QUEENS       ,1.295
LITTLE FLOWER PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.294
DONGAN PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.293
BUSHWICK PLAYGROUND ON FLUSHING AVENUE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.29
EAST RIVER PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.285
SAMUEL H. YOUNG PARK,0,0,0,0,0,0,0,0,,,BRONX        ,1.285
SPACE TIME PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.28
BOWNE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.28
RUDD PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.278
WILLOW LAKE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.277
MURPHY'S BROTHER'S PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.275
COONEY GRAUER FIELD,0,0,0,0,0,0,0,0,,,BRONX        ,1.274
WAGNER PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.27
EMERALD PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.265
PELHAM BAY LITTLE LEAGUE,0,0,0,0,0,0,0,0,,,BRONX        ,1.26
CHARLIE'S PLACE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.26
GREENE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.259
TANAHEY PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.254
ALBERT J. PARHAM PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.253
PARKSIDE PLAYGROUND BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.252
CARLTON PARK AT CARLTON BOULEVARD & CROWN AVENUE,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.25
PLAYGROUND NINETY,0,0,0,0,0,0,0,0,,,QUEENS       ,1.25
NEPTUNE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.243
ANNUNCIATION PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.24
HECKSCHER PLAYGROUND,0,0,0,0,0,0,0,1,,,BROOKLYN     ,1.24
GRASSMERE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.239
QUEENSBORO OVAL,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.239
GONZALO PLASENCIA PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.236
FRESH MEADOWS PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.23
RIENZI PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.23
ROEBLING PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.23
PATRICK O'ROURKE PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.23
HOWARD BENNETT PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.228
STANLEY ISAACS PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.227
CHAPPETTO SQUARE,0,0,0,0,0,0,0,0,,,QUEENS       ,1.226
BRIGHTON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.225
NELSON PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.222
SHEEPSHEAD BAY PIERS,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.22
ELEANOR ROOSEVELT PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.211
BAYVIEW PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.21
BAYSIDE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.21
MURRAY HILL PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.206
FRANCIS LEWIS PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.206
MAGENTA PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.205
TIFFANY PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.205
MAURICE A FITZGERALD PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.201
HILTON HOLIDAY GARDENS,0,0,0,0,0,0,0,0,,,QUEENS       ,1.2
DANIEL BOONE PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.2
KOREAN WAR VETERANS PLAZA,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.195
HATTIE CARTHAN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.195
STROUD PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.194
TILDEN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.19
UNDERWOOD PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.187
SOUTH OXFORD PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.187
LAFAYETTE PLAYGROUND ON STILLWELL AVENUE,0,0,0,0,0,0,0,1,,,BROOKLYN     ,1.187
GROVE HILL PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.186
LA GUARDIA PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.179
UNNAMED PARK ON DRUMGOOLE ROAD & VERNON AVENUE,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.178
BELMONT PLAYGROUND BROOKLYN,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.177
STEUBEN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.171
WILLIAM SHERIDAN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.17
THE CYCLONE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.17
OAKLAND GARDENS,0,0,0,0,0,0,0,0,,,QUEENS       ,1.166
UNIVERSITY PLACE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.161
EHRENREICH-AUSTIN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.161
HILLSIDE PARK QUEENS,0,0,0,0,0,0,0,0,,,QUEENS       ,1.16
SITTING AREA AT HOYT AVENUE,0,0,0,0,0,0,0,0,,,QUEENS       ,1.16
HARDING PARK BEAUTIFICATION PROJECT,0,0,0,0,0,0,0,0,,,BRONX        ,1.16
CUYLER GORE PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.158
BATH PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.157
POLICE OFFICER NICHOLAS DEMUTIIS PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.151
"""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND",0,0,0,0,0,0,0,0,,,QUEENS       ,1.15
RAPPAPORT PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.148
EAST SPRINGFIELD PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.146
WILLETS POINT PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.145
TOAD HALL PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.145
SEASIDE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.144
CORPORAL JOHN A. SERAVALLI PLAYGROUND,0,0,0,0,0,0,1,1,,,MANHATTAN    ,1.143
POPPENHUSEN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.14
UNNAMED PARK ON ROCKAWAY BOARDWALK & B 28TH ST,0,0,0,0,0,0,0,0,,,QUEENS       ,1.14
SOBEL COURT PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.137
WESTBOURNE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.13
FIDLER-WYCKOFF HOUSE PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.13
UNNAMED PARK ON SOUNDVIEW AVENUE,0,0,0,0,0,0,0,0,,,BRONX        ,1.13
D'EMIC PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.13
PRESCOTT PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.124
LOPEZ PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.115
HUGH J. GRANT CIRCLE,0,0,0,0,0,0,0,0,,,BRONX        ,1.11
P.S. 29 BALL FIELD,0,0,0,0,0,0,0,0,,,BRONX        ,1.107
PENA HERRERA PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.107
MENTONE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.102
MIDDLETON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.101
DE HOSTOS PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.1
SARATOGA BALLFIELDS,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.095
ROBERT MOSES PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.093
STOCKTON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.089
JACOB'S LADDER PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.085
LOUIS ARMSTRONG PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.085
UNNAMED PARK ON HAMILTON AVENUE,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.08
LATIMER PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.076
UNNAMED PARK ON MELROSE AVENUE,0,0,0,0,0,0,0,0,,,BRONX        ,1.075
MARLBORO PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.072
NORTH ROCHDALE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.071
JEROME PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.068
GREAT KILLS PARK AT HILLCREST AVENUE,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.065
FERMI PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.061
ERICSSON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.06
TELEPHONE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.056
MELLETT PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.056
NELLIE BLY PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.056
SEDGWICK PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.054
BRUCKNER PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.053
MILLBROOK PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.053
PLAYGROUND 103 CIII,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.052
ROCKET PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.052
BEACH CHANNEL PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.051
L/CPL THOMAS P. NOONAN JR. PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.05
LOZADA PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.05
JAMES WELDON JOHNSON PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.048
SPRINGFIELD PARK NORTH,0,0,0,0,0,0,0,0,,,QUEENS       ,1.045
NICHOLAS NAQUAN HEYWARD JR. PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.041
PLANEVIEW PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,1.035
FISH PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.035
GILBERT RAMIREZ PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.034
OXPORT PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.033
WOODTREE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.033
VAN ALST PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.033
HAMMEL PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.03
EASTCHESTER PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.025
SUNRISE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.025
POWELL PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.024
KALTENMEIER PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,1.02
MATTHEWS MULINER PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.02
BOWLING GREEN,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1.016
ANNADALE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,1.013
CURTIS PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1.003
MELROSE PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1.001
PLAYGROUND 174,0,0,0,0,0,0,0,0,,,BRONX        ,1
HOWARD PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1
CHESTER PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1
JACKIE ROBINSON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1
BLAKE HOBBS PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1
PLIMPTON PLAYGROUND,0,0,0,0,0,0,1,1,,,BRONX        ,1
CASERTA PLAYGROUND,0,0,0,0,0,0,1,1,,,BRONX        ,1
HACKETT PARK,0,0,0,0,0,0,0,0,,,BRONX        ,1
RANDALL PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,1
PINK PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,1
MARTIN LUTHER KING PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1
MONSIGNOR KETT PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,1
RUPPERT PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,0.997
BELLEROSE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.996
ARVERNE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.993
ABRAHAM LINCOLN PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,0.991
CAPTAIN RIVERA PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,0.988
NEWTOWN BARGE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.983
HOLLIS PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.98
MAPLE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.978
GOUVERNEUR PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,0.977
MOTT PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,0.977
ZIMMERMAN PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,0.974
LANNETT PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.974
RANAQUA PARK,0,0,0,0,0,0,0,0,,,BRONX        ,0.972
TEN EYCK PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.972
MAE GRANT PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,0.97
ANDRIES PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.964
CARVER PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.964
PARK SLOPE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.955
CHERRY TREE PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,0.95
DAVIS PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,0.949
MATTHEW P. SAPOLIN PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,0.947
PETER MINUIT PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,0.943
SOUTH ROCHDALE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.942
DREW PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,0.94
FOX PLAYGROUND BRONX,0,0,0,0,0,0,0,0,,,BRONX        ,0.94
WALTER WARD PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.935
CRISPUS ATTUCKS PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.934
BENSON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.934
SURF PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.933
BERGEN BEACH PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.927
TIGER PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.926
ATHENS SQUARE,0,0,0,0,0,0,0,0,,,QUEENS       ,0.925
P.S. 279 PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.92
ROCK GARDEN PARK,0,0,0,0,0,0,0,0,,,BRONX        ,0.92
SAW MILL PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,0.92
LIVONIA PARK,0,0,0,0,0,1,0,1,,,BROOKLYN     ,0.918
HOUSTON PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.918
BARTLETT PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.918
WHITE PLAYGROUND STATEN ISLAND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,0.918
BOERUM PARK,0,0,0,0,0,0,1,1,,,BROOKLYN     ,0.918
NEWPORT PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.918
DITMARS PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,0.918
PRATT PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.918
CARTER G. WOODSON CHILDREN'S PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.918
VIRGINIA PARK,0,0,0,0,0,0,0,0,,,BRONX        ,0.918
ALBEMARLE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.918
EDMONDS PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.917
GARDEN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.915
MARTIN LUTHER PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.913
PONTIAC PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,0.913
AESOP PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,0.912
SLATTERY PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,0.911
BAY TERRACE PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.91
WILLOUGHBY PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.907
ESTELLA DIGGS PARK,0,0,0,0,0,0,0,0,,,BRONX        ,0.903
WASHINGTON HALL PARK,0,0,0,0,0,2,0,2,,,BROOKLYN     ,0.901
STARR PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.9
HARLEM RBI,0,0,0,0,0,0,0,0,,,MANHATTAN    ,0.9
HART PLAYGROUND ON BROADWAY,0,0,0,0,0,0,0,0,,,QUEENS       ,0.896
AMERICAN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.896
ARROCHAR PLAYGROUND,0,0,0,0,0,0,0,0,,,STATEN ISLAND,0.892
SOL LAIN PLGD,0,0,0,0,0,0,0,0,,,MANHATTAN    ,0.891
EL SHABAZZ PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.89
PINOCCHIO PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.888
ALICE KORNEGAY TRIANGLE,0,0,0,0,0,0,0,0,,,MANHATTAN    ,0.883
PETER'S FIELD,0,0,0,0,0,0,0,0,,,MANHATTAN    ,0.882
BEDFORD PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.881
HAROLD SCHNEIDERMAN PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.878
WAKEFIELD PLAYGROUND,0,0,0,0,0,0,0,0,,,BRONX        ,0.877
QUEENS VALLEY PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.876
LT. JOSEPH PETROSINO PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.871
EVERGREEN PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.87
PLAYGROUND 286,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.868
BARRIER PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,0.867
LION'S PRIDE PLAYGROUND,0,0,0,0,0,0,0,0,,,BROOKLYN     ,0.865
